OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,SiteEnergyUse(kBtu),ComplianceStatus,Outlier,usage_type
596,2016,NonResidential,Small- and Mid-Sized Office,5050,5050 1st Ave S,Seattle,WA,98134.0,3573700410,2,GREATER DUWAMISH,47.55623,-122.33316,1938,1.0,1,50008,0,50008,Office,Office,50008.0,,,,,,3202213.0,Compliant,,Mono-usage
597,2016,NonResidential,Large Office,635 Elliott - South Bldg.,635 Elliott Avenue West,Seattle,WA,98119.0,3879902270,7,MAGNOLIA / QUEEN ANNE,47.6252,-122.36737,2009,1.0,4,291176,100176,191000,"Office, Parking",Office,194674.0,Parking,111198.0,,,,6657348.5,Compliant,,Multi-usages
598,2016,NonResidential,Warehouse,4225 2nd Ave So.,4225 2nd Ave. South,Seattle,WA,98134.0,3957900060,2,GREATER DUWAMISH,47.56549,-122.33221,1957,1.0,1,50832,0,50832,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,43920.0,Office,6912.0,,,,2551022.25,Compliant,,Multi-usages
599,2016,NonResidential,Refrigerated Warehouse,Uwajimaya (Seattle 5),4601 6th Ave S,Seattle,WA,98108.0,3958900565,2,GREATER DUWAMISH,47.56158,-122.32754,1971,1.0,1,76354,0,76354,Refrigerated Warehouse,Refrigerated Warehouse,76486.0,,,,,,2843033.5,Compliant,,Mono-usage
600,2016,NonResidential,Warehouse,Merlino Foods Building,4100 4th Avenue South,Seattle,WA,98134.0,3958900851,2,GREATER DUWAMISH,47.56558,-122.32889,1956,1.0,1,98480,0,98480,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,98480.0,,,,,,2831565.5,Compliant,,Mono-usage
601,2016,NonResidential,Mixed Use Property,Wallingford Center,1815 N 45th St.,Seattle,WA,98103.0,4083300140,4,LAKE UNION,47.66113,-122.33572,1904,1.0,2,53002,0,53002,"Multifamily Housing, Parking, Restaurant, Retail Store",Retail Store,31602.0,Parking,27427.0,Multifamily Housing,18130.0,,3441643.25,Compliant,,Multi-usages
602,2016,NonResidential,Mixed Use Property,199 Blaine,199 E Blaine St.,Seattle,WA,98102.0,4088802666,4,LAKE UNION,47.63465,-122.32592,2008,1.0,3,175918,51218,124700,"Laboratory, Office, Parking",Office,66737.0,Parking,58218.0,Laboratory,30230.0,,22530168.0,Compliant,,Multi-usages
603,2016,NonResidential,Other,1241 Eastlake - Zymogenetics,1241 Eastlake Ave E,Seattle,WA,98102.0,4088802925,3,LAKE UNION,47.63108,-122.32746,1920,1.0,3,169785,63782,106003,"Other, Parking",Other,106003.0,Parking,63782.0,,,,19155416.0,Compliant,,Multi-usages
604,2016,NonResidential,Large Office,AGC Building,1200 Westlake Ave N,Seattle,WA,98109.0,4088803725,7,LAKE UNION,47.63,-122.3396,1971,1.0,11,124721,0,124721,"Food Service, Office, Parking, Restaurant",Office,107594.0,Restaurant,15600.0,Parking,12000.0,,13898181.0,Compliant,,Multi-usages
605,2016,NonResidential,Small- and Mid-Sized Office,Lake Union Building,1700 Westlake Ave N,Seattle,WA,98109.0,4088803750,7,LAKE UNION,47.63376,-122.33968,1970,1.0,7,94002,0,94002,"Office, Parking",Office,93905.0,Parking,31348.0,,,,5662234.0,Compliant,,Multi-usages
606,2016,NonResidential,Warehouse,NWCP-SEA Bldg U,520 S Brandon St,Seattle,WA,98108.0,5084400005,2,GREATER DUWAMISH,47.55515,-122.3275,1974,1.0,1,93020,0,93020,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,93020.0,,,,,,1252323.875,Compliant,,Mono-usage
19746,2016,NonResidential,Other,ARTECH,2609 1st Avenue,Seattle,WA,98121.0,0653000350,7,DOWNTOWN,47.6153,-122.35014,1946,1.0,1,23000,0,23000,"Office, Other",Other,20310.0,Office,2689.600098,,,,711118.375,Compliant,,Multi-usages
607,2016,NonResidential,Supermarket / Grocery Store,Safeway 1965 - Rainier Ave,9262 Rainier Ave,Seattle,WA,98118.0,5087400030,2,SOUTHEAST,47.52095,-122.26825,2002,1.0,1,61053,0,61053,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,54434.0,Parking,0.0,,,,13133225.0,Compliant,,Multi-usages
608,2016,NonResidential,Large Office,411 1ST AVE  S (ID608),411 1ST AVE S,Seattle,WA,98104.0,5247800200,2,DOWNTOWN,47.59878,-122.33458,1913,5.0,7,154159,0,154159,Office,Office,193154.0,,,,,,11195917.0,Non-Compliant,Low outlier,Mono-usage
609,2016,NonResidential,Small- and Mid-Sized Office,111 S. Jackson,111 South Jackson Street,Seattle,WA,98104.0,5247800255,2,DOWNTOWN,47.59895,-122.33379,1904,1.0,5,78920,0,78920,Office,Office,78564.0,,,,,2017,2830674.75,Compliant,,Mono-usage
610,2016,NonResidential,Small- and Mid-Sized Office,FX McRory Building,419 Occidental Ave. S.,Seattle,WA,98104.0,5247800280,2,DOWNTOWN,47.59855,-122.33327,1906,1.0,7,99440,0,99440,"Office, Retail Store",Office,65088.0,Retail Store,23857.0,,,,6606832.5,Compliant,,Multi-usages
611,2016,NonResidential,Small- and Mid-Sized Office,Westland Building,100 South King Street,Seattle,WA,98104.0,5247800300,2,DOWNTOWN,47.59856,-122.33379,1907,1.0,6,73260,0,73260,Office,Office,63871.0,,,,,,2853189.5,Compliant,,Mono-usage
612,2016,NonResidential,Small- and Mid-Sized Office,The Globe Building,105 South Main St.,Seattle,WA,98104.0,5247800320,7,DOWNTOWN,47.59979,-122.3338,1900,1.0,4,69817,0,69817,"Office, Retail Store",Office,34647.0,Retail Store,26039.0,,,,2178074.5,Compliant,,Multi-usages
613,2016,NonResidential,Small- and Mid-Sized Office,The Grand Central Building,216 1st Ave. S.,Seattle,WA,98104.0,5247800390,7,DOWNTOWN,47.60035,-122.33379,1900,1.0,4,84750,0,84750,"Enclosed Mall, Office",Office,41609.0,Enclosed Mall,28734.0,,,,2094724.625,Compliant,,Multi-usages
614,2016,NonResidential,Small- and Mid-Sized Office,Interurban Building,157 Yesler Way,Seattle,WA,98104.0,5247800555,7,DOWNTOWN,47.60146,-122.33248,1900,1.0,6,75496,13320,62176,"Office, Restaurant, Retail Store",Office,45799.0,Retail Store,9739.0,Restaurant,4689.0,,3570161.75,Compliant,,Multi-usages
615,2016,NonResidential,Large Office,Occidental Mall,308 Occidental Avenue S,Seattle,WA,98104.0,5247800695,7,DOWNTOWN,47.59962,-122.33247,1900,1.0,4,164380,0,164380,"Office, Retail Store",Office,123607.0,Retail Store,20795.0,,,,7655751.0,Compliant,,Multi-usages
616,2016,NonResidential,Large Office,(ID616) Court in the Square,401 Second Ave S,Seattle,WA,98104.0,5247800755,2,DOWNTOWN,47.59858,-122.33198,1907,1.0,7,160580,0,160580,Office,Office,160580.0,,,,,,4336187.5,Compliant,,Mono-usage
618,2016,NonResidential,Small- and Mid-Sized Office,Prefontaine,110 Prefontaine Pl S,Seattle,WA,98104.0,5247801045,7,DOWNTOWN,47.60159,-122.32915,1909,1.0,6,73470,0,73470,"Non-Refrigerated Warehouse, Office, Retail Store",Office,47145.0,Non-Refrigerated Warehouse,9477.0,Retail Store,9477.0,,3212269.0,Error - Correct Default Data,,Multi-usages
619,2016,Nonresidential COS,Other,King Street Station,303 S Jackson Street,Seattle,WA,98104.0,5247801160,2,DOWNTOWN,47.59871,-122.3299,1906,1.0,3,67755,0,67755,"Data Center, Office, Other, Other - Entertainment/Public Assembly",Other,33647.0,Office,19705.0,Other - Entertainment/Public Assembly,11988.0,,1904480.0,Compliant,,Multi-usages
620,2016,NonResidential,Mixed Use Property,Pacific Office Automation,1064 4th Ave S,Seattle,WA,98134.0,7666204795,2,GREATER DUWAMISH,47.59334,-122.32905,1910,1.0,3,56700,0,56700,"Distribution Center, Non-Refrigerated Warehouse, Office",Office,26250.0,Distribution Center,18050.0,Non-Refrigerated Warehouse,12400.0,,2371575.0,Compliant,,Multi-usages
621,2016,NonResidential,Warehouse,1021-1045 6th Ave. S.,1045 6th Avenue South,Seattle,WA,98134.0,7666204800,2,GREATER DUWAMISH,47.59366,-122.32666,1922,1.0,1,82852,0,82852,"Non-Refrigerated Warehouse, Retail Store",Non-Refrigerated Warehouse,58472.0,Retail Store,23282.0,,,,2153603.5,Compliant,,Multi-usages
622,2016,NonResidential,Other,Pacific Galleries,241 S Lander St,Seattle,WA,98134.0,7666205335,2,GREATER DUWAMISH,47.57941,-122.33131,1953,1.0,2,76442,0,76442,"Distribution Center, Office, Other",Other,50500.0,Distribution Center,18000.0,Office,7604.0,,3978277.0,Compliant,,Multi-usages
623,2016,NonResidential,Distribution Center,Hullin Transfer Building,270 S HANFORD ST,Seattle,WA,98134.0,7666205408,2,GREATER DUWAMISH,47.57658,-122.33054,1962,1.0,2,92792,0,92792,"Distribution Center, Office",Distribution Center,85343.0,Office,13435.0,,,,3155496.0,Compliant,,Multi-usages
624,2016,NonResidential,Other,South Occidental Warehouse,1900 Occidental Ave S,Seattle,WA,98134.0,7666206115,2,GREATER DUWAMISH,47.58444,-122.33282,1941,2.0,2,125519,0,125519,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,142901.0,,,,,,2244317.0,Compliant,,Mono-usage
625,2016,NonResidential,Large Office,"2200 Equities, LLC",2200 1st Avenue South,Seattle,WA,98134.0,7666206220,2,GREATER DUWAMISH,47.58361,-122.33369,1900,1.0,4,129000,25800,103200,Office,Office,104869.0,,,,,,4374646.0,Compliant,,Mono-usage
626,2016,NonResidential,Warehouse,Warehouse 1,1750 Occidental Ave S,Seattle,WA,98134.0,7666206285,2,GREATER DUWAMISH,47.58781,-122.33264,1954,1.0,1,78814,0,78814,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,78814.0,,,,,,861972.875,Compliant,,Mono-usage
627,2016,NonResidential,Small- and Mid-Sized Office,Roebling Building,901 Occidental Ave S,Seattle,WA,98134.0,7666206640,2,GREATER DUWAMISH,47.59486,-122.33368,1904,1.0,4,58970,0,58970,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking",Office,39870.0,Non-Refrigerated Warehouse,11600.0,Multifamily Housing,7000.0,,1776411.75,Compliant,,Multi-usages
628,2016,NonResidential,Distribution Center,Palmer Court Building,1000 1st Ave S,Seattle,WA,98134.0,7666206676,2,GREATER DUWAMISH,47.59403,-122.33367,1910,1.0,6,75600,10800,64800,"Distribution Center, Office, Parking",Distribution Center,51040.0,Office,10500.0,Parking,6000.0,,2688675.75,Compliant,,Multi-usages
629,2016,NonResidential,Distribution Center,1016 1st Ave S LP,1014 1st Ave S,Seattle,WA,98134.0,7666206690,2,GREATER DUWAMISH,47.59363,-122.33371,1907,1.0,4,56270,0,56270,"Distribution Center, Non-Refrigerated Warehouse, Office, Retail Store",Distribution Center,39884.0,Non-Refrigerated Warehouse,9270.0,Office,4116.0,,1056782.125,Compliant,,Multi-usages
630,2016,NonResidential,Small- and Mid-Sized Office,The Reedo Building,542 1st Avenue South,Seattle,WA,98104.0,7666206851,2,DOWNTOWN,47.59701,-122.33378,1904,1.0,4,66842,0,66842,"Office, Retail Store",Office,43122.0,Retail Store,10514.0,,,,5608600.5,Compliant,,Multi-usages
632,2016,NonResidential,Small- and Mid-Sized Office,Provident Building,568 1st Avenue South,Seattle,WA,98104.0,7666206871,2,DOWNTOWN,47.59639,-122.33368,1909,1.0,6,75288,10800,64488,"Office, Parking",Office,65508.0,Parking,10918.0,,,,2891605.0,Compliant,,Multi-usages
633,2016,NonResidential,Large Office,83 S KING ST BLDG (ID633),83 S KING ST,Seattle,WA,98104.0,7666206895,2,DOWNTOWN,47.59806,-122.33475,1904,1.0,7,184322,0,184322,"Data Center, Office",Office,183916.0,Data Center,406.0,,,,9722890.0,Compliant,,Multi-usages
634,2016,NonResidential,Large Office,505 FIRST AVE S BLDG (ID634),505 1ST AVE S,Seattle,WA,98104.0,7666206900,2,DOWNTOWN,47.59767,-122.33467,2009,1.0,7,287853,0,287853,"Office, Retail Store",Office,273812.0,Retail Store,12102.0,,,,25567108.0,Compliant,,Multi-usages
635,2016,NonResidential,Small- and Mid-Sized Office,1201 Building,"1201 1st Ave. S.,",Seattle,WA,98134.0,7666206966,2,GREATER DUWAMISH,47.59202,-122.33486,1914,1.0,2,64512,0,64512,Office,Office,63000.0,,,,,,5968153.5,Compliant,,Mono-usage
637,2016,NonResidential,Mixed Use Property,Stadium Innovation Center,1531 Utah Ave S,Seattle,WA,98134.0,7666207045,2,GREATER DUWAMISH,47.58924,-122.33566,2009,1.0,6,286000,111774,174226,"Distribution Center, Office, Other, Other - Recreation, Parking",Parking,111774.0,Office,108747.0,Other,49271.0,,63835192.0,Compliant,,Multi-usages
638,2016,NonResidential,Warehouse,West Coast Building,2203 1st Ave. S.,Seattle,WA,98134.0,7666207175,2,GREATER DUWAMISH,47.58365,-122.33467,1926,1.0,7,144050,0,144050,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,144050.0,,,,,,3929371.0,Compliant,,Mono-usage
639,2016,NonResidential,Small- and Mid-Sized Office,Green Room,2245 1st Ave. South,Seattle,WA,98104.0,7666207195,2,GREATER DUWAMISH,47.58252,-122.33465,1930,1.0,3,60592,0,60592,Office,Office,60384.0,,,,,,5049446.5,Compliant,,Mono-usage
640,2016,NonResidential,Large Office,Starbucks Center,2401 Utah Ave South,Seattle,WA,98134.0,7666207220,2,GREATER DUWAMISH,47.58181,-122.33534,1912,0.0,6,1380959,0,1380959,"Non-Refrigerated Warehouse, Office, Retail Store",Office,1000730.0,Retail Store,281296.0,Non-Refrigerated Warehouse,220303.0,,74130576.0,Compliant,,Multi-usages
641,2016,NonResidential,Retail Store,The Home Depot,2701 Utah Avenue South,Seattle,WA,98134.0,7666207295,2,GREATER DUWAMISH,47.57842,-122.33558,1993,1.0,1,107930,0,107930,Retail Store,Retail Store,107704.0,,,,,,7221482.5,Compliant,,Mono-usage
642,2016,NonResidential,Warehouse,99/55 South Spokane St. Whse,99/55 South Spokane St.,Seattle,WA,98134.0,7666207506,2,GREATER DUWAMISH,47.57096,-122.3355,1926,1.0,1,99084,0,99084,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,99084.0,,,,,,1618110.375,Compliant,,Mono-usage
647,2016,NonResidential,Distribution Center,Ferguson Building,4100 W Marginal Way SW,Seattle,WA,98106.0,7666703530,1,Delridge,47.56676,-122.35247,1953,1.0,1,72719,0,72719,Distribution Center,Distribution Center,72719.0,,,,,,2581741.75,Compliant,,Mono-usage
649,2016,NonResidential,Small- and Mid-Sized Office,INScape,815 Seattle Blvd S.,Seattle,WA,98134.0,7669800045,3,EAST,47.59534849,-122.327269,1930,0.0,4,76624,0,76624,Office,Office,76624.0,,,,,,2773647.5,Compliant,,Mono-usage
650,2016,NonResidential,Small- and Mid-Sized Office,45th Street Plaza,1100 NE 45th ST,Seattle,WA,98105.0,7733600055,4,NORTHEAST,47.66158,-122.31625,2001,1.0,6,91706,36583,55123,"Office, Other, Parking",Office,53281.0,Parking,34701.0,Other,3724.0,,8570571.0,Compliant,,Multi-usages
651,2016,NonResidential,Medical Office,BMR-530 Fairview Avenue LLC,530 Fairview Avenue North,Seattle,WA,98109.0,7863500020,7,LAKE UNION,47.62395,-122.33392,2008,1.0,5,129093,39902,89191,"Medical Office, Other, Parking",Medical Office,89131.0,Parking,37652.0,Other,5615.0,,19248732.0,Compliant,,Multi-usages
652,2016,NonResidential,Large Office,West Seattle Corporate Center,4025 Delridge Way SW,Seattle,WA,98106.0,7881500200,1,DELRIDGE,47.56787,-122.36419,1991,1.0,5,138106,16221,121885,"Office, Parking",Office,119083.0,Parking,16221.0,,,,8381834.5,Compliant,,Multi-usages
654,2016,NonResidential,Retail Store,AIRPORT WAY SOUTH,4101 - 4111 AIRPORT WAY S,Seattle,WA,98108.0,7886100495,2,GREATER DUWAMISH,47.56664,-122.32346,1973,1.0,1,56572,0,56572,Retail Store,Retail Store,56576.0,,,,,,2409429.0,Compliant,,Mono-usage
656,2016,NonResidential,Medical Office,Arnold Pavilion,1221 Madison Street,Seattle,WA,98104.0,8725990000,3,EAST,47.60979,-122.32298,2004,1.0,0,225982,0,225982,Medical Office,Medical Office,200184.0,,,,,,20560622.0,Compliant,,Mono-usage
657,2016,NonResidential,Mixed Use Property,2200 Westlake - SEDO,2200 Westlake Ave.,Seattle,WA,98121.0,8729740000,7,DOWNTOWN,47.61783,-122.33729,2006,0.0,0,516407,0,516407,"Financial Office, Hotel, Multifamily Housing, Other, Parking, Restaurant, Supermarket/Grocery Store",Parking,385196.0,Multifamily Housing,340236.0,Hotel,67627.0,,39403320.0,Compliant,,Multi-usages
658,2016,NonResidential,Large Office,505 Union Station - SEDO,505 5th Ave. South,Seattle,WA,98104.0,8809700020,2,DOWNTOWN,47.59794,-122.32767,2000,1.0,11,312512,0,312512,"Data Center, Office, Restaurant",Office,303312.0,Data Center,4738.0,Restaurant,4462.0,,25747022.0,Compliant,,Multi-usages
659,2016,NonResidential,Large Office,Russell Investments Center,1301 2nd Ave,Seattle,WA,98101.0,9184500000,7,DOWNTOWN,47.6074,-122.33777,2005,1.0,42,1592914,0,1592914,"Data Center, Financial Office, Office, Parking, Restaurant",Office,914832.0,Parking,348788.0,Financial Office,303910.0,201620142012201120082007,56498868.0,Compliant,,Multi-usages
660,2016,NonResidential,Small- and Mid-Sized Office,1505 5th Ave,1505 5th Ave.,Seattle,WA,98101.0,1975700220,7,DOWNTOWN,47.61077,-122.3361,1926,1.0,6,97720,0,97720,"Data Center, Office, Retail Store",Office,51881.0,Data Center,11999.0,Retail Store,9713.0,,2478025.25,Compliant,,Multi-usages
661,2016,NonResidential,Medical Office,Elmer J. Nordstrom Medical Tower,1229 madison Street,Seattle,WA,98104.0,6108450000,3,EAST,47.61002,-122.32222,1985,1.0,10,422503,206580,215923,Medical Office,Medical Office,197408.0,,,,,,17254810.0,Compliant,,Mono-usage
671,2016,NonResidential,Medical Office,Jefferson Tower,1600 E Jefferson St,Seattle,WA,98122.0,7942600570,3,CENTRAL,47.60649,-122.31121,1987,1.0,7,94500,0,94500,Medical Office,Medical Office,113739.0,,,,,,5792926.0,Compliant,,Mono-usage
673,2016,NonResidential,Retail Store,#8944 West Seattle,7345 Delridge Way SW,Seattle,WA,98106.0,7985400295,1,DELRIDGE,47.53655,-122.36377,2005,0.0,1,94713,0,94713,Retail Store,Retail Store,109758.0,,,,,,5417598.0,Compliant,,Mono-usage
674,2016,NonResidential,Medical Office,7th and Madison,904   7th Ave.,Seattle,WA,98122.0,8590400395,7,EAST,47.60707,-122.3288,2008,1.0,9,302902,101342,201560,"Medical Office, Parking",Medical Office,201365.0,Parking,86270.0,,,,14751117.0,Compliant,,Multi-usages
677,2016,NonResidential,Medical Office,Cabrini Medical Tower,901 Boren Avenue,Seattle,WA,98104.0,8590901010,3,EAST,47.60883,-122.32494,1973,1.0,19,319911,156407,163504,"Medical Office, Parking",Medical Office,170727.0,Parking,69171.0,,,,15067340.0,Compliant,,Multi-usages
678,2016,NonResidential,Large Office,Colman Building,"811 First Avenue, Suite 350",Seattle,WA,98104.0,8591400005,7,DOWNTOWN,47.60353,-122.33558,1900,1.0,6,205521,0,205521,"Office, Retail Store",Office,114919.0,Retail Store,28643.0,,,,8138616.5,Compliant,,Multi-usages
679,2016,NonResidential,Small- and Mid-Sized Office,Mutual Life Building,605 First Avenue,Seattle,WA,98104.0,8591400075,7,DOWNTOWN,47.60197,-122.33437,1900,1.0,6,56700,0,56700,"Office, Retail Store",Office,46000.0,Retail Store,10500.0,,,,3065954.5,Compliant,,Multi-usages
680,2016,NonResidential,Small- and Mid-Sized Office,RDA Building,800 Maynard Ave S,Seattle,WA,98134.0,8592900345,2,GREATER DUWAMISH,47.59554,-122.32471,1925,1.0,4,72000,0,72000,Office,Office,72000.0,,,,,,2729167.75,Compliant,,Mono-usage
681,2016,NonResidential,Large Office,1633 Westlake Building,1633 Westlake Avenue North,Seattle,WA,98109.0,8807900360,7,MAGNOLIA / QUEEN ANNE,47.63347,-122.34078,2000,1.0,4,191146,94892,96254,"Office, Parking",Office,103000.0,Parking,80000.0,,,,5101504.5,Compliant,,Multi-usages
682,2016,NonResidential,Other,West Seattle Fitness,2629 SW Andover Street,Seattle,WA,98121.0,9358000300,1,DELRIDGE,47.56797,-122.36711,2001,1.0,3,68763,11527,57236,"Other - Recreation, Parking, Swimming Pool",Other - Recreation,50000.0,Parking,11527.0,Swimming Pool,0.0,,9029489.0,Compliant,,Multi-usages
683,2016,NonResidential,Other,Rainier Square Plaza,3820 Rainier Ave S,Seattle,WA,98118.0,9834201515,2,SOUTHEAST,47.56961,-122.28881,1994,3.0,1,102133,0,102133,"Parking, Strip Mall",Strip Mall,107427.0,Parking,0.0,,,,20725996.0,Compliant,,Multi-usages
685,2016,NonResidential,Large Office,818 Stewart,818 Stewart Street,Seattle,WA,98101.0,2285050000,7,DOWNTOWN,47.61567,-122.33503,2008,1.0,14,362046,0,362046,"Office, Other, Parking",Office,232443.0,Parking,97874.0,Other,3534.0,20172015,15725581.0,Compliant,,Multi-usages
689,2016,NonResidential,Other,Marketplace at Queen Anne,600 1st Ave N,Seattle,WA,98109.0,5161000000,7,MAGNOLIA / QUEEN ANNE,47.62476,-122.35521,1994,3.0,2,81336,0,81336,Lifestyle Center,Lifestyle Center,81385.0,,,,,,13085297.0,Compliant,,Mono-usage
690,2016,NonResidential,Large Office,One Convention Place,701 Pike Street,Seattle,WA,98101.0,5342900000,7,DOWNTOWN,47.6115,-122.33278,2001,1.0,23,538933,0,538933,"Office, Parking",Office,366554.0,Parking,122821.0,,,2017201520142013201120092008,16020642.0,Compliant,,Multi-usages
692,2016,NonResidential,Other,2323 Elliott,2323 Elliott Avenue,Seattle,WA,98121.0,6780950000,7,DOWNTOWN,47.61234,-122.34897,1983,1.0,6,275982,197130,78852,"Office, Parking",Parking,197040.0,Office,78852.0,,,,5233553.5,Compliant,,Multi-usages
693,2016,NonResidential,Small- and Mid-Sized Office,Queen Anne Square East (200),200 W Mercer St,Seattle,WA,98119.0,7015350000,7,MAGNOLIA / QUEEN ANNE,47.62497,-122.35965,1982,1.0,5,98668,0,98668,Office,Office,98668.0,,,,,2016201520142013201220102009,4391348.0,Compliant,,Mono-usage
694,2016,NonResidential,Large Office,Rainier Brewery,3100 Airport Way South,Seattle,WA,98134.0,7135400000,2,GREATER DUWAMISH,47.57639,-122.32072,2007,1.0,1,158931,28381,130550,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking",Office,80157.0,Multifamily Housing,34302.0,Parking,26937.0,,8751704.0,Compliant,,Multi-usages
696,2016,NonResidential,Large Office,"Ocean Beauty Seafoods, LLC",1100 W Ewing St,Seattle,WA,98119.0,7666200070,7,MAGNOLIA / QUEEN ANNE,47.65692,-122.37059,1978,1.0,1,105100,0,105100,Office,Office,105100.0,,,,,,22078064.0,Compliant,,Mono-usage
700,2016,NonResidential,Supermarket / Grocery Store,IUC- Whole Foods Interbay,2001 15th Avenue West,Seattle,WA,98119.0,7666201460,7,MAGNOLIA / QUEEN ANNE,47.63718,-122.37734,2008,1.0,1,57176,0,57176,"Personal Services (Health/Beauty, Dry Cleaning, etc), Retail Store, Supermarket/Grocery Store",Supermarket/Grocery Store,39500.0,Retail Store,15000.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5500.0,,12525174.0,Compliant,,Multi-usages
701,2016,NonResidential,Retail Store,Elliot Industrial,1523-1541 15th Ave West,Seattle,WA,98121.0,7666201690,7,MAGNOLIA / QUEEN ANNE,47.63284,-122.37712,1978,1.0,1,50660,0,50660,Retail Store,Retail Store,50660.0,,,,,,2661488.0,Compliant,,Mono-usage
702,2016,NonResidential,Small- and Mid-Sized Office,Hays Elliot,1461-1489 Elliot Ave W,Seattle,WA,98119.0,7666201740,7,MAGNOLIA / QUEEN ANNE,47.63156,-122.37551,1937,1.0,2,61929,0,61929,Office,Office,39879.0,,,,,,2203026.5,Compliant,,Mono-usage
703,2016,NonResidential,Large Office,501 Elliott Ave West,501 Elliot Ave West,Seattle,WA,98119.0,7666202080,7,MAGNOLIA / QUEEN ANNE,47.62302,-122.36476,2000,1.0,4,165111,55000,110111,"Data Center, Office, Parking",Office,104667.0,Parking,55000.0,Data Center,5444.0,,25478086.0,Compliant,,Multi-usages
704,2016,NonResidential,Large Office,401 Elliott Ave West,401 Elliot Ave West,Seattle,WA,98119.0,7666202110,7,MAGNOLIA / QUEEN ANNE,47.62235,-122.36378,2000,1.0,4,129551,42500,87051,"Data Center, Office, Parking",Office,82273.0,Parking,42500.0,Data Center,4778.0,,27137190.0,Non-Compliant,High outlier,Multi-usages
19755,2016,NonResidential,Small- and Mid-Sized Office,"2607 Building, LLC",2607 2nd Avenue,Seattle,WA,98121.0,0654000120,7,DOWNTOWN,47.61588,-122.34965,1925,1.0,3,20565,0,20565,Office,Office,20565.0,,,,,,802312.5,Compliant,,Mono-usage
705,2016,NonResidential,Large Office,351 Elliott Ave West,351 Elliot Ave West,Seattle,WA,98119.0,7666202133,7,MAGNOLIA / QUEEN ANNE,47.62175,-122.36313,2000,1.0,5,159937,55971,103966,"Office, Parking",Office,106449.0,Parking,50258.0,,,,7857972.5,Compliant,,Multi-usages
706,2016,NonResidential,Large Office,333 Elliott West,333 Elliott Ave W,Seattle,WA,98119.0,7666202160,7,MAGNOLIA / QUEEN ANNE,47.62101,-122.36188,2008,1.0,5,183964,46763,137201,"Data Center, Office, Parking",Office,133451.0,Parking,46763.0,Data Center,3750.0,,14856199.0,Compliant,,Multi-usages
707,2016,NonResidential,Large Office,101 ELLIOTT AVENUE WEST,101 Elliott Ave West,Seattle,WA,98119.0,7666202220,7,MAGNOLIA / QUEEN ANNE,47.61891,-122.35958,1986,1.0,5,208210,78848,129362,"Office, Parking",Office,109978.0,Parking,78848.0,,,2016201120102009,5514308.5,Compliant,,Multi-usages
708,2016,NonResidential,Large Office,3131 Elliott Avenue,3131 Elliott Avenue,Seattle,WA,98121.0,7666202240,7,DOWNTOWN,47.61813,-122.35833,1986,1.0,7,277486,80283,197203,"Office, Other, Parking",Office,178625.0,Parking,87624.0,Other,14653.0,,12729858.0,Compliant,,Multi-usages
709,2016,NonResidential,Large Office,Pier 69 Corporate HQ,2711 Alaskan Way,Seattle,WA,98121.0,7666202295,7,DOWNTOWN,47.614,-122.35375,1993,1.0,3,187130,0,187130,"Non-Refrigerated Warehouse, Office, Other, Other - Recreation, Other - Services, Restaurant",Office,171783.0,Non-Refrigerated Warehouse,9581.0,Other - Recreation,4413.0,2010,10053489.0,Compliant,,Multi-usages
710,2016,NonResidential,Large Office,World Trade Center - North,2401 Elliott Avenue,Seattle,WA,98121.0,7666202320,7,DOWNTOWN,47.61287,-122.35022,2000,1.0,5,251044,117867,133177,"Data Center, Office",Office,126218.0,Data Center,12717.0,,,2016201520122009,17186624.0,Compliant,,Multi-usages
711,2016,NonResidential,Warehouse,08495-Pier 57,1334 Alaskan Way,Seattle,WA,98101.0,7666202440,7,DOWNTOWN,47.60703,-122.34038,1912,1.0,5,154330,0,154330,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,95330.0,,,,,,1262235.25,Compliant,,Mono-usage
