OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ComplianceStatus,Outlier,usage_type,BuildingAge,BuildingRatio,IsMultiUse,NumberPropertyUses
26348,2016,NonResidential,Small- and Mid-Sized Office,Lake Union Place,1914 N 34th Street,Seattle,WA,98103.0,4083306580,4,LAKE UNION,47.6483,-122.33438,1.0,3,26694,6034,20660,Office,24914.0,Parking,4720.0,,,,Compliant,,Multi-usages,35,0.773956694388252,1,2
25002,2016,NonResidential,Self-Storage Facility,Roosevelt Self Storage,6910 Roosevelt Way NE,Seattle,WA,98115.0,3658700555,4,NORTHEAST,47.67905,-122.31697,1.0,4,38959,0,38959,Self-Storage Facility,38959.0,,,,,,Compliant,,Mono-usage,20,1.0,0,1
524,2016,NonResidential,Large Office,Plaza 701 N 34th,701 N. 34th Street,Seattle,WA,98103.0,1973200387,6,LAKE UNION,47.64882,-122.34905,1.0,4,243334,103032,140302,Office,138995.0,Parking,24549.0,,,201720162012,Compliant,,Multi-usages,17,0.5765819819671727,1,2
20182,2016,NonResidential,Worship Facility,St. Bridget Church,4900 NE 50th St.,Seattle,WA,98105.0,1025049150,4,NORTHEAST,47.66516,-122.2738,1.0,1,26366,0,26366,Worship Facility,26386.0,Parking,0.0,,,,Compliant,,Multi-usages,44,1.0,1,2
27007,2016,NonResidential,Worship Facility,Seattle Community Church,4501 46th Avenue NE,Seattle,WA,98105.0,5364200005,4,NORTHEAST,47.66146,-122.2788,1.0,2,20039,0,20039,Worship Facility,20039.0,,,,,,Non-Compliant,Low outlier,Mono-usage,62,1.0,0,1
22252,2016,NonResidential,Other,1415 NW 52nd,1415 NW 52nd St,Seattle,WA,98125.0,2768300955,6,BALLARD,47.66621,-122.37502,1.0,1,32000,0,32000,Other - Recreation,29880.0,Office,4700.0,,,,Compliant,,Multi-usages,55,1.0,1,2
26600,2016,NonResidential,Mixed Use Property,Cadillac Hotel,319 2nd Avenue South,Seattle,WA,98104.0,5247800715,7,DOWNTOWN,47.59938,-122.33197,1.0,3,26000,0,26000,Office,13000.0,Other - Entertainment/Public Assembly,13000.0,,,,Compliant,,Multi-usages,50,1.0,1,2
24579,2016,NonResidential,Other,SODO Park Bldg,3200 1st ave south,Seattle,WA,98134.0,7666205935,2,GREATER DUWAMISH,47.57507,-122.33349,2.0,1,27760,0,27760,Other,19715.0,Office,12000.0,Retail Store,6000.0,,Compliant,,Multi-usages,100,1.0,1,4
23757,2016,NonResidential,Warehouse,Tile for Less,2440 1st Ave S,Seattle,WA,98134.0,7666206090,2,GREATER DUWAMISH,47.58065,-122.33356,1.0,1,21600,0,21600,Non-Refrigerated Warehouse,21600.0,,,,,,Compliant,,Mono-usage,89,1.0,0,1
19910,2016,NonResidential,Medical Office,King Co Public Health,2124 4th Ave,Seattle,WA,98121.0,0696000025,7,DOWNTOWN,47.6146,-122.34217,1.0,4,26670,0,26670,Medical Office,26670.0,,,,,,Compliant,,Mono-usage,64,1.0,0,1
50204,2016,Nonresidential COS,Other,Fire Station 39 (New),2806 NE 127th St,Seattle,WA,,3834500066,5,NORTH,47.72126,-122.29735,1.0,1,11285,0,11285,Prison/Incarceration,11285.0,,,,,,Compliant,,Mono-usage,67,1.0,0,1
23971,2016,NonResidential,Refrigerated Warehouse,Airport Way,2415 Airport Way South,Seattle,WA,98134.0,7666203180,2,GREATER DUWAMISH,47.58118,-122.32211,1.0,1,25375,0,25375,Refrigerated Warehouse,23419.0,Office,2266.0,,,,Compliant,,Multi-usages,61,1.0,1,2
682,2016,NonResidential,Other,West Seattle Fitness,2629 SW Andover Street,Seattle,WA,98121.0,9358000300,1,DELRIDGE,47.56797,-122.36711,1.0,3,68763,11527,57236,Other - Recreation,50000.0,Parking,11527.0,Swimming Pool,0.0,,Compliant,,Multi-usages,15,0.8323662434739613,1,3
20168,2016,NonResidential,K-12 School,Spruce Street School,914 Virginia St.,Seattle,WA,98101.0,0660001365,7,DOWNTOWN,47.61687,-122.33533,1.0,3,22860,0,22860,K-12 School,22860.0,,,,,,Compliant,,Mono-usage,21,1.0,0,1
25471,2016,NonResidential,Other,National Barricade Seattle,6518 Ravenna Ave NE,Seattle,WA,98115.0,7169200020,4,NORTHEAST,47.67642,-122.3035,1.0,1,20332,0,20332,Other,20332.0,,,,,,Compliant,,Mono-usage,70,1.0,0,1
24640,2016,NonResidential,Retail Store,Westwood Village - Building F,2600 SW Barton St,Seattle,WA,98126.0,3624039009,1,DELRIDGE,47.52254,-122.36627,1.0,1,26208,0,26208,Retail Store,32427.0,,,,,,Compliant,,Mono-usage,11,1.0,0,1
23671,2016,NonResidential,Small- and Mid-Sized Office,Areis Building,2366 Eastlake Avenue East,Seattle,WA,98102.0,2902200925,4,LAKE UNION,47.64168,-122.32562,1.0,4,50333,18036,32297,Office,50333.0,,,,,,Compliant,,Mono-usage,57,0.6416665011026563,0,1
20323,2016,NonResidential,Residence Hall,Chancery Place Apartments,910 Marion Street,Seattle,WA,98104.0,1510600000,3,EAST,47.60817,-122.32654,0.0,15,115775,31535,84240,Residence Hall/Dormitory,150000.0,Office,25000.0,,,,Compliant,,Multi-usages,34,0.7276182250053984,1,2
23834,2016,NonResidential,Warehouse,South Seattle Business Park- Bldg A,4636 East Marginal Way South,Seattle,WA,98134.0,3573200250,2,GREATER DUWAMISH,47.56121,-122.33872,1.0,1,26094,0,26094,Non-Refrigerated Warehouse,26094.0,,,,,,Compliant,,Mono-usage,63,1.0,0,1
20707,2016,NonResidential,Warehouse,Mallory Safety & Supply LLC,5510 E Marginal Way South,Seattle,WA,98134.0,1722802630,2,GREATER DUWAMISH,47.55302,-122.33605,1.0,1,30545,0,30545,Non-Refrigerated Warehouse,23545.0,Office,7000.0,,,,Compliant,,Multi-usages,78,1.0,1,2
20815,2016,NonResidential,Small- and Mid-Sized Office,SPRAG,2517 Eastlake Ave E,Seattle,WA,98104.0,1959700023,4,LAKE UNION,47.64243,-122.32618,1.0,2,21183,0,21183,Office,13945.0,Parking,7238.0,,,20152012,Compliant,,Multi-usages,59,1.0,1,2
21322,2016,NonResidential,Small- and Mid-Sized Office,Fourth and Union,1404 Fourth Ave,Seattle,WA,98101.0,1975700290,7,DOWNTOWN,47.60952,-122.33558,1.0,4,30525,0,30525,Office,15609.0,Retail Store,6104.0,,,,Compliant,,Multi-usages,88,1.0,1,2
738,2016,NonResidential,Other,UW Benjamin Hall IRB,616 NE Northlake Place,Seattle,WA,98105.0,4207401365,4,NORTHEAST,47.65529,-122.32133,1.0,6,143439,0,143439,Other,119570.0,Parking,23869.0,,,,Compliant,,Multi-usages,10,1.0,1,2
449,2016,NonResidential,Large Office,1551 Eastlake,1551 Eastlake Ave E,Seattle,WA,98102.0,2107700210,4,LAKE UNION,47.63349,-122.32634,1.0,3,158600,38400,120200,Office,125779.0,Parking,32821.0,Laboratory,20000.0,,Compliant,,Multi-usages,54,0.7578814627994955,1,3
539,2016,NonResidential,Retail Store,University Center,4501 Roosevelt Way NE,Seattle,WA,98105.0,5335200380,4,NORTHEAST,47.66178,-122.31812,1.0,2,69492,0,69492,Retail Store,69800.0,Other,0.0,,,,Non-Compliant,Low outlier,Multi-usages,29,1.0,0,1
50198,2016,Nonresidential COS,Other,Fire Station 06 (New),405 MLK Jr Way S,Seattle,WA,,1250200565,3,CENTRAL,47.59905,-122.29787,1.0,1,11685,0,11685,Prison/Incarceration,11685.0,,,,,,Compliant,,Mono-usage,3,1.0,0,1
27874,2016,NonResidential,Warehouse,20172- Seattle / Capitol,1515 13th Ave,Seattle,WA,98122.0,6003000375,3,EAST,47.61469,-122.31596,1.0,2,61880,0,61880,Non-Refrigerated Warehouse,61880.0,,,,,,Compliant,,Mono-usage,58,1.0,0,1
19596,2016,NonResidential,Worship Facility,BALLARD CHURCH (ID19596),1460 NW 73RD ST,Seattle,WA,98117.0,0461002400,6,BALLARD,47.68164,-122.3753,1.0,2,33589,0,33589,Worship Facility,33589.0,,,,,,Compliant,,Mono-usage,102,1.0,0,1
49695,2016,NonResidential,Large Office,City Place V - SEDO,207 Boren Ave. North,Seattle,WA,98109.0,1986200350,7,LAKE UNION,47.62037,-122.33627,1.0,11,526423,0,526423,Office,400536.0,Parking,182439.0,Other,7177.0,,Compliant,,Multi-usages,4,1.0,1,3
24714,2016,NonResidential,Warehouse,Great Floors,1251 1st Ave S,Seattle,WA,98111.0,7666206990,2,GREATER DUWAMISH,47.59081,-122.33487,1.0,2,41276,0,41276,Non-Refrigerated Warehouse,24300.0,Retail Store,13284.0,Office,3692.0,,Compliant,,Multi-usages,78,1.0,1,3
21905,2016,NonResidential,Other,Seattle Athletic Club,333 NE 97th,Seattle,WA,98115.0,2434900060,5,NORTH,47.69883,-122.32479,1.0,1,30610,0,30610,Other - Recreation,23320.0,Office,7290.0,,,,Compliant,,Multi-usages,37,1.0,1,2
24205,2016,NonResidential,Other,640 S Spokane,640 S. Spokane,Seattle,WA,98134.0,7666203827,2,GREATER DUWAMISH,47.57217,-122.32421,1.0,1,27933,0,27933,Other,27933.0,,,,,,Compliant,,Mono-usage,56,1.0,0,1
588,2016,NonResidential,Mixed Use Property,1616 Eastlake,1616 Eastlake Ave. E,Seattle,WA,98102.0,3383900230,4,LAKE UNION,47.63451,-122.32505,0.0,5,251827,113318,138509,Parking,113318.0,Laboratory,84000.0,Office,84000.0,,Compliant,,Multi-usages,14,0.550016479567322,1,3
173,2016,NonResidential,Small- and Mid-Sized Office,Seattle Children's Hospital 70th/Sand Point Way Administrative Offices,6901Sand Point Way NE,Seattle,WA,98115.0,6418100005,4,NORTHEAST,47.67828,-122.26456,1.0,2,96300,0,96300,Office,92300.0,Data Center,4944.0,,,,Compliant,,Multi-usages,14,1.0,1,2
45927,2016,NonResidential,Laboratory,Reasearch and Training Building,300 Ninth Avenue,Seattle,WA,98104.0,8590900220,3,EAST,47.60427,-122.32311,1.0,8,178000,0,178000,Laboratory,181930.0,,,,,,Compliant,,Mono-usage,16,1.0,0,1
463,2016,NonResidential,Large Office,425 Pontius,425 Pontius Ave N,Seattle,WA,98109.0,2467400315,7,LAKE UNION,47.62269,-122.33224,1.0,4,134056,60960,73096,Office,72066.0,Parking,59137.0,,,,Compliant,,Multi-usages,34,0.54526466551292,1,2
491,2016,NonResidential,Small- and Mid-Sized Office,South Tower,100 West Harrison,Seattle,WA,98119.0,1989200740,7,MAGNOLIA / QUEEN ANNE,47.62224,-122.3585,1.0,5,87178,20416,66762,Office,66747.0,Parking,28285.0,,,,Compliant,,Multi-usages,46,0.7658124756245842,1,2
50101,2016,Nonresidential WA,University,Burke Museum,4331 Memorial Way NE,Seattle,WA,98195.0,1625049001,4,NORTHEAST,47.66127,-122.31256,1.0,1,68072,0,68072,College/University,68916.0,,,,,,Compliant,,Mono-usage,54,1.0,0,1
579,2016,NonResidential,Warehouse,Jones Stevedoring Seattle Building,7245 West Marginal Way SW,Seattle,WA,98106.0,3024049159,1,DELRIDGE,47.53689,-122.33847,1.0,1,140520,0,140520,Non-Refrigerated Warehouse,140520.0,,,,,,Compliant,,Mono-usage,48,1.0,0,1
24374,2016,NonResidential,Retail Store,Jumbo chinese restaurant,4208 rainier ave so.,Seattle,WA,98118.0,7950301480,2,SOUTHEAST,47.56514,-122.28781,1.0,1,36071,0,36071,Retail Store,36071.0,,,,,,Error - Correct Default Data,,Mono-usage,48,1.0,0,1
24646,2016,Nonresidential COS,Other,Southwest Teen Life Center and Pool,2801 Thistle St,Seattle,WA,98106.0,3624039172,1,DELRIDGE,47.52801,-122.36918,0.0,2,27227,0,27227,Other - Recreation,29064.0,Fitness Center/Health Club/Gym,8508.0,Pre-school/Daycare,715.0,,Compliant,,Multi-usages,41,1.0,1,6
847,2016,NonResidential,Warehouse,Pioneer Industries,7000 Highland Parkway SW,Seattle,WA,98106.0,3024049003,1,DELRIDGE,47.53935,-122.34402,1.0,1,70400,0,70400,Non-Refrigerated Warehouse,58047.0,Office,12353.0,,,,Compliant,,Multi-usages,46,1.0,1,2
23896,2016,NonResidential,Distribution Center,The Long Building,8230 5th Ave S,Seattle,WA,98108.0,7883600005,1,GREATER DUWAMISH,47.52878,-122.32771,1.0,1,29619,0,29619,Distribution Center,15000.0,Office,14619.0,,,,Compliant,,Multi-usages,26,1.0,1,2
21396,2016,NonResidential,Restaurant,Uptown Espresso Building (Block 38W) - SEDO,500-510 Westlake Ave. North,Seattle,WA,98109.0,1983200170,7,LAKE UNION,47.62354,-122.33808,1.0,3,40686,0,40686,Restaurant,40686.0,,,,,,Compliant,,Mono-usage,97,1.0,0,1
409,2016,NonResidential,Large Office,Washington Federal,425 Pike Street,Seattle,WA,98101.0,1975700240,7,DOWNTOWN,47.61033,-122.3357,1.0,6,109830,13200,96630,Office,83485.0,Parking,13200.0,Retail Store,5000.0,,Compliant,,Multi-usages,32,0.8798142583993445,1,4
244,2016,NonResidential,Small- and Mid-Sized Office,Washington Park Building,76-80 S washington st,Seattle,WA,98104.0,5247800030,7,DOWNTOWN,47.60105,-122.33518,1.0,3,44558,0,44558,Office,34416.0,Self-Storage Facility,7672.0,Restaurant,2470.0,,Compliant,,Multi-usages,116,1.0,1,3
49850,2016,NonResidential,K-12 School,Paul G Allen Athletic Center,14050 1st Ave NE,Seattle,WA,98125.0,2832100190,5,NORTHWEST,47.73143,-122.32784,1.0,2,48925,0,48925,K-12 School,63500.0,,,,,,Compliant,,Mono-usage,2,1.0,0,1
19858,2016,NonResidential,Mixed Use Property,Marion 823,823 3rd Avenue,Seattle,WA,98104.0,0939000300,7,DOWNTOWN,47.60427,-122.33385,1.0,2,38539,12379,26160,Retail Store,15549.0,Parking,12379.0,Office,10611.0,,Compliant,,Multi-usages,38,0.6787929110770907,1,3
356,2016,NonResidential,Large Office,The Central Building,810 Third Avenue,Seattle,WA,98104.0,0942000550,7,DOWNTOWN,47.60471,-122.33261,1.0,8,201480,0,201480,Office,161762.0,Retail Store,29094.0,Non-Refrigerated Warehouse,10624.0,,Compliant,,Multi-usages,109,1.0,1,3
704,2016,NonResidential,Large Office,401 Elliott Ave West,401 Elliot Ave West,Seattle,WA,98119.0,7666202110,7,MAGNOLIA / QUEEN ANNE,47.62235,-122.36378,1.0,4,129551,42500,87051,Office,82273.0,Parking,42500.0,Data Center,4778.0,,Non-Compliant,High outlier,Multi-usages,16,0.6719438676660157,1,3
21180,2016,NonResidential,Other,"Seventeen Meters, LLC",437 N 34th Street,Seattle,WA,98103.0,1972206512,6,LAKE UNION,47.64975,-122.35289,0.0,3,53103,0,53103,Other,38723.0,,,,,,Compliant,,Mono-usage,20,1.0,0,1
616,2016,NonResidential,Large Office,(ID616) Court in the Square,401 Second Ave S,Seattle,WA,98104.0,5247800755,2,DOWNTOWN,47.59858,-122.33198,1.0,7,160580,0,160580,Office,160580.0,,,,,,Compliant,,Mono-usage,109,1.0,0,1
25124,2016,NonResidential,Other,4H Investments,12001 31st AVE NE,Seattle,WA,98125.0,8822900840,5,NORTH,47.7162,-122.2956,1.0,1,25406,0,25406,"Personal Services (Health/Beauty, Dry Cleaning, etc)",25406.0,,,,,,Compliant,,Mono-usage,56,1.0,1,3
25,2016,NonResidential,Hotel,Arctic Club Seattle,700 3rd Ave,Seattle,WA,98104.0,0942000610,7,DOWNTOWN,47.60376,-122.33194,1.0,10,104352,0,104352,Hotel,104352.0,,,,,,Compliant,,Mono-usage,100,1.0,0,1
23861,2016,NonResidential,Small- and Mid-Sized Office,Commuter Center LLC,815 Western,Seattle,WA,98105.0,7666202545,7,DOWNTOWN,47.6032,-122.33663,1.0,3,32160,0,32160,Office,35693.0,Retail Store,14219.0,,,,Compliant,,Multi-usages,110,1.0,1,2
489,2016,NonResidential,Small- and Mid-Sized Office,200 West Thomas,200 West Thomas St,Seattle,WA,98119.0,1989200615,7,MAGNOLIA / QUEEN ANNE,47.62115,-122.3597,1.0,5,88062,20826,67236,Office,64752.0,Parking,21396.0,,,,Compliant,,Multi-usages,42,0.7635075287865367,1,2
25847,2016,NonResidential,Small- and Mid-Sized Office,Pine Building,400 East Pine Street,Seattle,WA,98122.0,8725600520,3,EAST,47.61543,-122.32657,1.0,3,27544,0,27544,Office,22365.0,Parking,3744.0,,,,Compliant,,Multi-usages,99,1.0,1,2
638,2016,NonResidential,Warehouse,West Coast Building,2203 1st Ave. S.,Seattle,WA,98134.0,7666207175,2,GREATER DUWAMISH,47.58365,-122.33467,1.0,7,144050,0,144050,Non-Refrigerated Warehouse,144050.0,,,,,,Compliant,,Mono-usage,90,1.0,0,1
25513,2016,NonResidential,Worship Facility,St. Therese Parish,3416 E. Marion,Seattle,WA,98122.0,9184700280,3,CENTRAL,47.61118,-122.288,1.0,1,21850,0,21850,Worship Facility,21850.0,,,,,,Compliant,,Mono-usage,116,1.0,0,1
52,2016,NonResidential,Small- and Mid-Sized Office,SBC52,5305 Shilshole Ave NW,Seattle,WA,98107.0,0467000429,6,BALLARD,47.66587,-122.38476,1.0,2,94900,0,94900,Office,55586.0,Non-Refrigerated Warehouse,39314.0,,,,Compliant,,Multi-usages,55,1.0,1,2
49998,2016,NonResidential,Self-Storage Facility,West Coast Self-Storage of Columbia City,3736 Rainier Ave S,Seattle,WA,98144.0,3357400211,2,SOUTHEAST,47.57054,-122.29139,1.0,4,101580,14004,87576,Self-Storage Facility,87576.0,,,,,,Compliant,,Mono-usage,2,0.8621382161842882,0,1
395,2016,NonResidential,Warehouse,Ferguson Terminal,4205 9th Ave NW,Seattle,WA,98107.0,0467000050,6,BALLARD,47.65825,-122.3683,1.0,1,52500,0,52500,Non-Refrigerated Warehouse,49395.0,Office,5853.0,,,,Compliant,,Multi-usages,43,1.0,1,2
26930,2016,NonResidential,Senior Care Community,Seattle Keiro,1601 E. Yesler Way,Seattle,WA,98122.0,9826700565,3,CENTRAL,47.60133,-122.31088,1.0,2,74840,0,74840,Senior Care Community,74840.0,,,,,,Compliant,,Mono-usage,29,1.0,0,1
50210,2016,Nonresidential COS,Office,Central West HQ / Brown Bear,1403 w howe,Seattle,WA,,2425039137,7,MAGNOLIA / QUEEN ANNE,47.63572,-122.37525,1.0,1,13661,0,13661,Office,13661.0,,,,,,Error - Correct Default Data,,Mono-usage,64,1.0,0,1
23331,2016,NonResidential,Small- and Mid-Sized Office,Gateway Plaza,13751 Lake City Way NE,Seattle,WA,98125.0,3821700140,5,NORTH,47.72986,-122.29278,1.0,3,33580,12990,20590,Office,20590.0,Parking,12990.0,,,,Compliant,,Multi-usages,31,0.6131625967837999,1,2
21550,2016,NonResidential,Small- and Mid-Sized Office,Bayview Building,129 1st Avenue West,Seattle,WA,98119.0,1992200400,7,MAGNOLIA / QUEEN ANNE,47.61954,-122.35847,1.0,3,45864,0,45864,Office,45864.0,,,,,,Compliant,,Mono-usage,86,1.0,0,1
717,2016,Nonresidential COS,Warehouse,Airport Way Ctr - Bldg C,2203 Airport Way S,Seattle,WA,98134.0,7666203240,2,GREATER DUWAMISH,47.5829,-122.32417,1.0,2,145158,0,145158,Non-Refrigerated Warehouse,101633.0,Office,48544.0,Other,10270.0,,Compliant,,Multi-usages,31,1.0,1,3
23297,2016,NonResidential,Residence Hall,St. James Cathedral & Rectory,804 9th Ave.,Seattle,WA,98104.0,8590900085,3,EAST,47.6073,-122.32585,1.0,1,44086,0,44086,Residence Hall/Dormitory,44091.0,,,,,,Compliant,,Mono-usage,112,1.0,0,1
49783,2016,NonResidential,Laboratory,UW Medicine Phase 3.1,750 Republican Street,Seattle,WA,98109.0,1988201435,7,LAKE UNION,47.62351,-122.34135,0.0,8,339591,114010,225581,Laboratory,172793.0,Parking,139241.0,Convenience Store without Gas Station,294.0,,Compliant,,Multi-usages,3,0.6642726102870806,1,3
766,2016,NonResidential,Large Office,1200 3rd Ave,1200 3rd Ave,Seattle,WA,98104.0,1975200015,7,DOWNTOWN,47.60741,-122.33565,1.0,13,189175,0,189175,Office,151740.0,Other,12645.0,,,,Compliant,,Multi-usages,95,1.0,1,2
371,2016,NonResidential,Mixed Use Property,METROPOLITAN PARK NORTH (ID371),1220 HOWELL ST,Seattle,WA,98101.0,0660002381,7,DOWNTOWN,47.6177,-122.3306,1.0,11,381381,195621,185760,Parking,182820.0,Office,164192.0,Fitness Center/Health Club/Gym,37782.0,,Compliant,,Multi-usages,16,0.4870719831349752,1,3
24085,2016,NonResidential,Other,Performance Radiator,1101 AIRPORT WAY S,Seattle,WA,98134.0,7666203380,2,GREATER DUWAMISH,47.59322,-122.32491,1.0,4,20600,0,20600,"Repair Services (Vehicle, Shoe, Locksmith, etc)",20600.0,,,,,,Compliant,,Mono-usage,96,1.0,1,4
23313,2016,NonResidential,Small- and Mid-Sized Office,Swedish Invex Building,1115 Columbia St,Seattle,WA,98122.0,8590900690,3,EAST,47.60819,-122.32282,1.0,3,21282,0,21282,Office,19658.0,,,,,,Compliant,,Mono-usage,60,1.0,0,1
794,2016,NonResidential,Warehouse,NWCP-SEA Bldg C,703 S Fidalgo St,Seattle,WA,98108.0,2738100480,2,GREATER DUWAMISH,47.54923,-122.32446,1.0,1,115620,0,115620,Non-Refrigerated Warehouse,56900.0,,,,,,Compliant,,Mono-usage,50,1.0,0,1
